,Unnamed: 0,avgRating,listingBathroomLabel,bathrooms,listingBedLabel,bedrooms,beds,businessHostLabel,city,listingGuestLabel,id,isAutoTranslated,isNewListing,isSuperhost,relaxedFilterLabels,localizedCityName,localizedDistanceText,locationTitle,locationContext,listingName,listingObjType,neighborhood,previewTags,publicAddress,reviewsCount,roomType,roomTypeCategory,roomTypeId,spaceType,starRating,title,avgRatingLocalized,accessibilityLabel,price,qualifier,adults,children,infants,pets
40,40,4.97,1 bath,1.0,1 bed,1,1,,Calgary,3 guests,1120610121960582771,False,False,True,,Calgary,,,,Bright Spacious Suite | FREE Parking | FAST Wi-Fi,REGULAR,,[],"Calgary, AB, Canada",61,Entire home/apt,entire_home,,Condo,5.0,Condo in Northwest Calgary,4.97 (61),$107 CAD per night,$107 CAD,night,1,0,0,0
41,41,4.78,2 baths,2.0,2 beds,2,2,,Calgary,5 guests,34756354,False,False,True,,Calgary,,,,COZY & SPACIOUS 2BD 2BTH Downtown Stampede/BMO/LRT,REGULAR,,[],"Calgary, AB, Canada",179,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.78 (179),$100 CAD per night,$100 CAD,night,1,0,0,0
42,42,4.92,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,1251285596526206043,False,False,True,,Calgary,,,,Tobacco Vanillè Studio • City Skyline Views,REGULAR,,[],"Calgary, AB, Canada",25,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.92 (25),$96 CAD per night,$96 CAD,night,1,0,0,0
43,43,4.68,1 bath,1.0,2 beds,1,2,,Calgary,3 guests,864578430861504536,False,False,False,,Calgary,,,,Lovely 1-Bedroom Loft with balcony,REGULAR,,[],"Calgary, AB, Canada",41,Entire home/apt,entire_home,,Apartment,4.5,Apartment in Northwest Calgary,4.68 (41),$74 CAD per night,$74 CAD,night,1,0,0,0
44,44,4.85,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,1048788523460543030,False,False,True,,Calgary,,,,Stylish Industrial Calgary Loft,REGULAR,,[],"Calgary, AB, Canada",55,Entire home/apt,entire_home,,Loft,5.0,Loft in Downtown Calgary,4.85 (55),$102 CAD per night,$102 CAD,night,1,0,0,0
45,45,4.95,1 bath,1.0,1 bed,1,1,,Calgary,4 guests,29944736,False,False,True,,Calgary,,,,Spacious One Bedroom Queen Bed Inner City Stay,REGULAR,,[],"Calgary, AB, Canada",174,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Southeast Calgary,4.95 (174),$65 CAD per night,$65 CAD,night,1,0,0,0
46,46,4.73,1 bath,1.0,2 beds,1,2,,Calgary,2 guests,13240130,False,False,True,,Calgary,,,,Fully private suite centrally located,REGULAR,,[],"Calgary, AB, Canada",343,Entire home/apt,entire_home,,Home,5.0,Home in Southeast Calgary,4.73 (343),$65 CAD per night,$65 CAD,night,1,0,0,0
47,47,,1 bath,1.0,2 beds,1,2,,Calgary,3 guests,1329904026676925826,False,True,True,,Calgary,,,,Calgary Tower Views | UG Park | Rooftop Patio,REGULAR,,[],"Calgary, AB, Canada",0,Entire home/apt,entire_home,,Apartment,,Apartment in Northwest Calgary,New,$90 CAD per night,$90 CAD,night,1,0,0,0
48,48,4.85,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,28466028,False,False,True,,Calgary,,,,Sink into the Sleek Leather Sectional at an Open-Concept Pad,REGULAR,,[],"Calgary, AB, Canada",410,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.85 (410),$62 CAD per night,$62 CAD,night,1,0,0,0
49,49,4.93,2 baths,2.0,3 beds,2,3,,Calgary,6 guests,1205044064777380251,False,False,True,,Calgary,,,,DT 2 bedroom 2 bath w/ AC + underground parking,REGULAR,,[],"Calgary, AB, Canada",43,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.93 (43),$82 CAD per night,$82 CAD,night,1,0,0,0
